lb,position,tag,type,key,name
a003a02,1,place,start,PL9969,楓江
a003a02,2,place,end,PL9969,楓江
a003a02,12,place,start,PL9978,寒山寺
a003a02,14,place,end,PL9978,寒山寺
a003a03,12,person,start,A018136,馮林一
a003a03,14,person,end,A018136,馮林一
a003a04,2,person,start,A018138,昌熾
a003a04,3,person,end,A018138,昌熾
a003a05,13,place,start,PL9978,寒山寺
a003a05,15,place,end,PL9978,寒山寺
a003a06,10,person,start,A009194,文
a003a06,10,person,end,A009194,文
a003a06,11,person,start,A018140,唐
a003a06,11,person,end,A018140,唐
a003a07,5,person,start,A001522,道衍
a003a07,6,person,end,A001522,道衍
a003a07,14,person,start,A004127,寒山子
a003a07,16,person,end,A004127,寒山子
a003a08,6,place,start,PL14411,天台
a003a08,7,place,end,PL14411,天台
a003a08,8,place,start,PL14546,寒巖
a003a08,9,place,end,PL14546,寒巖
a003a08,11,person,start,A009211,拾得
a003a08,12,person,end,A009211,拾得
a003a08,13,person,start,A005272,豐干
a003a08,14,person,end,A005272,豐干
a003a08,23,person,start,A004127,寒山
a003a09,1,person,end,A004127,寒山
a003a09,6,person,start,A006334,閭邱
a003a09,7,person,end,A006334,閭邱
a003a09,15,person,start,A015210,志南
a003a09,16,person,end,A015210,志南
a003a10,20,place,start,PL9928,吳
a003a10,20,place,end,PL9928,吳
a003a11,16,place,start,PL14546,天台翠屏山
a003a11,20,place,end,PL14546,天台翠屏山
a004a01,19,place,start,PL9940,金閶
a004a01,20,place,end,PL9940,金閶
a004a03,6,place,start,PL9987,積善
a004a03,7,place,end,PL9987,積善
a004a03,10,place,start,PL10032,吾與
a004a03,11,place,end,PL10032,吾與
a004a03,12,place,start,PL10097,法螺
a004a03,13,place,end,PL10097,法螺
a004a03,16,place,start,PL10095,落木
a004a03,17,place,end,PL10095,落木
a004a05,11,place,start,PL37922,貴陽
a004a05,12,place,end,PL37922,貴陽
a004a05,13,person,start,A018161,陳公
a004a05,14,person,end,A018161,陳公
a004a05,22,place,start,PL34481,雲陽
a004a05,23,place,end,PL34481,雲陽
a004a06,1,person,start,A006693,程公
a004a06,2,person,end,A006693,程公
a004a06,5,person,start,A018160,陸申甫方伯
a004a06,9,person,end,A018160,陸申甫方伯
a004a09,22,person,start,A018138,昌熾
a004a09,23,person,end,A018138,昌熾
a004a10,8,person,start,A021776,吉甫
a004a10,9,person,end,A021776,吉甫
a004a10,21,place,start,PL11655,西湖理安
a004a11,1,place,end,PL11655,西湖理安
a004a11,2,place,start,PL11463,昭慶寺
a004a11,4,place,end,PL11463,昭慶寺
a005a02,3,person,start,A018138,昌熾
a005a02,4,person,end,A018138,昌熾
a005a06,16,place,start,PL9915,長洲
a005a06,17,place,end,PL9915,長洲
a005a06,18,person,start,A018138,葉昌熾
a005a06,20,person,end,A018138,葉昌熾
a007a02,12,person,start,A006693,雲陽中丞
a007a02,15,person,end,A006693,雲陽中丞
a007a03,3,place,start,PL9978,寒山寺
a007a03,5,place,end,PL9978,寒山寺
a007a03,9,person,start,A018138,昌熾
a007a03,10,person,end,A018138,昌熾
a007a04,12,person,start,A018179,陸文節公
a007a04,15,person,end,A018179,陸文節公
a007a04,17,person,start,A018197,何筱雅太守
a007a04,21,person,end,A018197,何筱雅太守
a007a07,6,place,start,PL26481,武昌
a007a07,7,place,end,PL26481,武昌
a007a11,20,person,start,A018138,昌熾
a007a11,21,person,end,A018138,昌熾
a008a01,16,place,start,PL8361,吳
a008a01,16,place,end,PL8361,吳
a008a01,17,place,start,PL8360,越
a008a01,17,place,end,PL8360,越
a008a01,20,person,start,A002104,老
a008a01,20,person,end,A002104,老
a008a01,21,person,start,A018181,韓
a008a01,21,person,end,A018181,韓
a008a05,14,person,start,A018179,文節
a008a05,15,person,end,A018179,文節
a008a05,17,person,start,A018197,筱雅
a008a05,18,person,end,A018197,筱雅
a008a07,2,person,start,A018179,文節
a008a07,3,person,end,A018179,文節
a008a11,18,person,start,A018138,寂鑑遺民
a008a11,21,person,end,A018138,寂鑑遺民
a009a01,1,place,start,PL9877,花橋老屋
a009a01,4,place,end,PL9877,花橋老屋
a009a04,21,person,start,A002505,庾元規
a009a05,2,person,end,A002505,庾元規
a009a05,11,person,start,A012289,羊叔子
a009a05,13,person,end,A012289,羊叔子
a009a07,6,person,start,A010440,牛
a009a07,6,person,end,A010440,牛
a009a07,7,person,start,A009040,李
a009a07,7,person,end,A009040,李
a009a09,8,person,start,A018138,緣裻
a009a09,9,person,end,A018138,緣裻
a009a10,3,person,start,A018197,何筱雅太守
a009a10,7,person,end,A018197,何筱雅太守
a009a11,1,person,start,A018197,筱雅
a009a11,2,person,end,A018197,筱雅
a010a02,9,place,start,PL9958,吳閶
a010a02,10,place,end,PL9958,吳閶
a010a04,7,person,start,A006693,中丞
a010a04,8,person,end,A006693,中丞
a010a06,3,place,start,PL9978,寒山寺
a010a06,5,place,end,PL9978,寒山寺
a010a06,22,place,start,PL9943,楓橋
a010a06,23,place,end,PL9943,楓橋
a010a07,19,place,start,PL9958,昌門
a010a07,20,place,end,PL9958,昌門
a010a08,8,person,start,A006134,陸士衡
a010a08,10,person,end,A006134,陸士衡
a010a08,12,place,start,PL10063,靈巖
a010a08,13,place,end,PL10063,靈巖
a010a08,14,place,start,PL10008,支硎
a010a08,15,place,end,PL10008,支硎
a010a09,15,person,start,A010970,張懿孫
a010a09,17,person,end,A010970,張懿孫
a010a10,7,person,start,A009887,韋左司
a010a10,9,person,end,A009887,韋左司
a010a10,17,place,start,PL9978,寒山
a010a10,18,place,end,PL9978,寒山
a011a03,2,place,start,PL55639,航
a011a03,2,place,end,PL55639,航
a011a03,8,person,start,A022125,閻
a011a03,8,person,end,A022125,閻
a011a03,9,person,start,A022126,胡
a011a03,9,person,end,A022126,胡
a011a03,10,person,start,A022127,江
a011a03,10,person,end,A022127,江
a011a03,11,person,start,A022128,孫
a011a03,11,person,end,A022128,孫
a011a05,8,person,start,A018182,王存
a011a05,9,person,end,A018182,王存
a011a05,10,person,start,A018183,樂史
a011a05,11,person,end,A018183,樂史
a011a07,18,place,start,PL9978,寒山寺
a011a07,20,place,end,PL9978,寒山寺
a011a09,11,place,start,PL11505,武林
a011a09,12,place,end,PL11505,武林
a011a09,18,place,start,PL11596,靈隱
a011a09,19,place,end,PL11596,靈隱
a011a09,20,place,start,PL11463,昭慶
a011a09,21,place,end,PL11463,昭慶
a011a10,23,place,start,PL9916,蘇
a011a10,23,place,end,PL9916,蘇
a011a11,2,place,start,PL10063,靈巖
a011a11,3,place,end,PL10063,靈巖
a011a11,6,place,start,PL10050,吳宮
a011a11,7,place,end,PL10050,吳宮
a011a11,12,place,start,PL10056,鄧尉
a011a11,13,place,end,PL10056,鄧尉
a011a11,16,person,start,A003668,漢月
a011a11,17,person,end,A003668,漢月
a012a01,12,place,start,PL9978,寒山
a012a01,13,place,end,PL9978,寒山
a012a02,1,person,start,A010970,張繼
a012a02,2,person,end,A010970,張繼
a012a02,5,person,start,A004127,寒
a012a02,5,person,end,A004127,寒
a012a02,6,person,start,A009211,拾
a012a02,6,person,end,A009211,拾
a012a10,5,person,start,A018138,昌熾
a012a10,6,person,end,A018138,昌熾
a012a11,5,place,start,PL26481,武昌
a012a11,6,place,end,PL26481,武昌
a015a02,22,place,start,PL44586,甘肅
a015a02,23,place,end,PL44586,甘肅
a015a02,27,person,start,A018138,葉昌熾
a015a02,29,person,end,A018138,葉昌熾
a015a04,1,place,start,PL9941,楓橋
a015a04,2,place,end,PL9941,楓橋
a015a04,12,person,start,A010970,張繼
a015a04,13,person,end,A010970,張繼
a015a04,21,place,start,PL9916,吳
a015a04,21,place,end,PL9916,吳
a015a05,5,place,start,PL9978,寒山寺
a015a05,7,place,end,PL9978,寒山寺
a015a06,13,place,start,PL9941,封橋
a015a06,14,place,end,PL9941,封橋
a015a08,2,person,start,A010970,張繼
a015a08,3,person,end,A010970,張繼
a015a09,4,place,start,PL9928,姑蘇
a015a09,5,place,end,PL9928,姑蘇
a015a09,8,place,start,PL9978,寒山寺
a015a09,10,place,end,PL9978,寒山寺
a015a10,3,person,start,A010970,張懿孫
a015a10,5,person,end,A010970,張懿孫
a016a01,11,person,start,A009887,韋左司
a016a01,13,person,end,A009887,韋左司
a016a03,1,place,start,PL9941,楓橋
a016a03,2,place,end,PL9941,楓橋
a016a03,4,place,start,PL9958,閶門
a016a03,5,place,end,PL9958,閶門
a016a05,1,place,start,PL9941,楓橋
a016a05,2,place,end,PL9941,楓橋
a016a05,4,place,start,PL9958,閶門
a016a05,5,place,end,PL9958,閶門
a016a05,11,place,start,PL9915,長邑
a016a05,12,place,end,PL9915,長邑
a016a07,1,place,start,PL9832,胥塘
a016a07,2,place,end,PL9832,胥塘
a016a07,5,place,start,PL9830,閶門運河
a016a07,8,place,end,PL9830,閶門運河
a016a07,10,place,start,PL9954,綵雲港
a016a07,12,place,end,PL9954,綵雲港
a016a07,14,place,start,PL9954,綵雲港
a016a07,16,place,end,PL9954,綵雲港
a016a07,20,place,start,PL9834,洞涇
a016a07,21,place,end,PL9834,洞涇
a016a08,2,place,start,PL9833,白蓮涇
a016a08,4,place,end,PL9833,白蓮涇
a016a08,8,place,start,PL9942,江村橋
a016a08,10,place,end,PL9942,江村橋
a016a08,12,place,start,PL9953,楓橋灣
a016a08,14,place,end,PL9953,楓橋灣
a016a09,2,place,start,PL9832,胥塘
a016a09,3,place,end,PL9832,胥塘
a016a09,7,place,start,PL9959,南濠
a016a09,8,place,end,PL9959,南濠
a016a09,10,place,start,PL9960,閶門釣橋
a016a09,13,place,end,PL9960,閶門釣橋
a016a09,15,place,start,PL9970,北濠山塘水
a016a09,19,place,end,PL9970,北濠山塘水
a016a09,22,place,start,PL9835,沙盆潭
a016a10,1,place,end,PL9835,沙盆潭
a016a10,7,place,start,PL9961,渡僧橋
a016a10,9,place,end,PL9961,渡僧橋
a016a10,11,place,start,PL9941,楓橋
a016a10,12,place,end,PL9941,楓橋
a016a10,18,place,start,PL9970,虎邱山塘水
a016a10,22,place,end,PL9970,虎邱山塘水
a016a11,3,place,start,PL9966,射瀆
a016a11,4,place,end,PL9966,射瀆
a017a01,8,place,start,PL10040,滸墅鈔關
a017a01,11,place,end,PL10040,滸墅鈔關
a017a01,16,person,start,A018257,董漢儒
a017a01,18,person,end,A018257,董漢儒
a017a01,20,place,start,PL9941,楓橋
a017a01,21,place,end,PL9941,楓橋
a017a02,1,place,start,PL9941,楓橋
a017a02,2,place,end,PL9941,楓橋
a017a02,4,place,start,PL10040,關
a017a02,4,place,end,PL10040,關
a017a03,9,place,start,PL9915,長洲縣
a017a03,11,place,end,PL9915,長洲縣
a017a03,16,place,start,PL9941,楓橋
a017a03,17,place,end,PL9941,楓橋
a017a03,20,place,start,PL10117,望亭
a017a03,21,place,end,PL10117,望亭
a017a03,23,place,start,PL9350,湖橋無錫縣
a017a04,4,place,end,PL9350,湖橋無錫縣
a017a05,3,person,start,A018271,釋性能
a017a05,5,person,end,A018271,釋性能
a017a05,7,person,start,A018271,法華
a017a05,8,person,end,A018271,法華
a017a05,10,place,start,PL9978,寒山寺
a017a05,12,place,end,PL9978,寒山寺
a017a05,14,place,start,PL9941,楓橋
a017a05,15,place,end,PL9941,楓橋
a017a05,22,place,start,PL10051,龍門
a017a05,23,place,end,PL10051,龍門
a017a07,1,place,start,PL9941,楓橋
a017a07,2,place,end,PL9941,楓橋
a017a07,10,place,start,PL9941,封橋
a017a07,11,place,end,PL9941,封橋
a017a07,12,person,start,A018277,王郇公
a017a07,14,person,end,A018277,王郇公
a017a07,16,place,start,PL9995,吳
a017a07,16,place,end,PL9995,吳
a017a07,19,person,start,A010970,張繼
a017a07,20,person,end,A010970,張繼
a017a08,8,place,start,PL10070,天平寺
a017a08,10,place,end,PL10070,天平寺
a017a08,19,place,start,PL9941,封橋
a017a08,20,place,end,PL9941,封橋
a017a09,7,person,start,A008709,吳潛
a017a09,8,person,end,A008709,吳潛
a017a09,16,place,start,PL9941,封橋
a017a09,17,place,end,PL9941,封橋
a017a10,3,person,start,A008709,潛
a017a10,3,person,end,A008709,潛
a017a10,11,person,start,A018284,翁逢龍
a017a10,13,person,end,A018284,翁逢龍
a017a11,6,person,start,A018290,曹文迺
a017a11,8,person,end,A018290,曹文迺
a017a11,11,place,start,PL9978,封橋寺
a017a11,13,place,end,PL9978,封橋寺
a017a11,18,person,start,A018292,熊
a017a11,18,person,end,A018292,熊
a018a01,1,person,start,A018290,曹氏
a018a01,2,person,end,A018290,曹氏
a018a01,9,person,start,A018292,盧熊
a018a01,10,person,end,A018292,盧熊
a018a01,16,place,start,PL9978,封橋寺
a018a01,18,place,end,PL9978,封橋寺
a018a01,22,person,start,A004609,李日華
a018a01,24,person,end,A004609,李日華
a018a01,32,person,start,A018295,張燕昌
a018a01,34,person,end,A018295,張燕昌
a018a03,2,person,start,A018292,盧
a018a03,2,person,end,A018292,盧
a018a03,11,place,start,PL9941,封橋
a018a03,12,place,end,PL9941,封橋
a018a03,14,person,start,A018277,王郇公
a018a03,16,person,end,A018277,王郇公
a018a05,3,place,start,PL9941,楓橋
a018a05,4,place,end,PL9941,楓橋
a018a05,6,place,start,PL9978,妙利普明塔院
a018a05,11,place,end,PL9978,妙利普明塔院
a018a06,2,place,start,PL9941,楓橋
a018a06,3,place,end,PL9941,楓橋
a018a06,14,person,start,A004029,白刺史
a018a06,16,person,end,A004029,白刺史
a018a07,17,person,start,A004127,寒山子
a018a07,19,person,end,A004127,寒山子
a018a10,1,place,start,PL9916,吳中
a018a10,2,place,end,PL9916,吳中
a018a11,7,place,start,PL10063,靈巖
a018a11,8,place,end,PL10063,靈巖
a018a11,9,place,start,PL10056,元墓
a018a11,10,place,end,PL10056,元墓
a019a01,1,person,start,A001444,陽衒之
a019a01,3,person,end,A001444,陽衒之
a019a01,16,place,start,PL23642,洛陽
a019a01,17,place,end,PL23642,洛陽
a019a02,2,place,start,PL9978,寒山
a019a02,3,place,end,PL9978,寒山
a019a02,11,place,start,PL9958,閶門
a019a02,12,place,end,PL9958,閶門
a019a04,1,place,start,PL9978,普明禪院
a019a04,4,place,end,PL9978,普明禪院
a019a04,6,place,start,PL9978,楓橋寺
a019a04,8,place,end,PL9978,楓橋寺
a019a04,11,place,start,PL9995,吳縣
a019a04,12,place,end,PL9995,吳縣
a019a04,17,place,start,PL9941,楓橋
