lb,position,tag,type,key,name
0006a01,6,person,start,A008340,關侯
0006a01,7,person,end,A008340,關侯
0007a01,8,place,start,PL56203,忠孝寺
0007a01,10,place,end,PL56203,忠孝寺
0007a04,6,person,start,A007242,孔延
0007a04,7,person,end,A007242,孔延
0007a04,8,person,start,A007244,孔太
0007a04,9,person,end,A007244,孔太
0007a04,10,person,start,A007246,孔陵
0007a05,1,person,end,A007246,孔陵
0008a02,1,person,start,A007246,陵兒
0008a02,2,person,end,A007246,陵兒
0008a04,4,place,start,PL8891,留都
0008a04,5,place,end,PL8891,留都
0008a04,9,place,start,PL11509,錢塘
0008a04,10,place,end,PL11509,錢塘
0008a05,2,place,start,PL12279,鄮嶺
0008a05,3,place,end,PL12279,鄮嶺
0008a05,5,place,start,PL12309,阿育王寺
0008a05,8,place,end,PL12309,阿育王寺
0009a01,8,person,start,A007249,善財
0009a01,9,person,end,A007249,善財
0009a02,6,person,start,A001318,無著
0009a02,7,person,end,A001318,無著
0011a01,6,person,start,A007778,祕藏理法師
0011a01,10,person,end,A007778,祕藏理法師
0011a02,4,person,start,A007778,理公
0011a02,5,person,end,A007778,理公
0011a04,6,person,start,A007778,理公
0011a04,7,person,end,A007778,理公
0012a02,4,place,start,PL12309,育王寺
0012a02,6,place,end,PL12309,育王寺
0015a02,9,person,start,A006997,侯開府
0015a03,1,person,end,A006997,侯開府
0015a03,2,person,start,A007025,屠儀部
0015a03,4,person,end,A007025,屠儀部
0017a04,1,place,start,PL12193,四明三佛地
0017a04,5,place,end,PL12193,四明三佛地
0018a05,1,place,start,PL19498,泰和
0018a05,2,place,end,PL19498,泰和
0018a05,3,person,start,A007230,郭子章
0018a05,5,person,end,A007230,郭子章
0019a02,1,place,start,PL19498,西昌
0019a02,2,place,end,PL19498,西昌
0019a02,3,person,start,A007230,郭大司馬
0019a02,6,person,end,A007230,郭大司馬
0020a02,7,place,start,PL12310,鄮山舍利塔
0020a03,2,place,end,PL12310,鄮山舍利塔
0020a04,5,person,start,A007244,太
0020a04,5,person,end,A007244,太
0020a04,8,person,start,A007246,陵
0020a04,8,person,end,A007246,陵
0020a05,3,person,start,A007778,理公
0020a05,4,person,end,A007778,理公
0024a05,9,person,start,A007230,郭氏
0024a06,1,person,end,A007230,郭氏
0026a03,5,place,start,PL19546,安成
0026a03,6,place,end,PL19546,安成
0026a03,7,person,start,A007255,覺海居士鄒德溥
0026a04,4,person,end,A007255,覺海居士鄒德溥
0027a02,2,place,start,PL83,震旦
0027a02,3,place,end,PL83,震旦
0027a02,5,place,start,PL12193,明州
0027a02,6,place,end,PL12193,明州
0030a02,3,person,start,A007247,文潞
0030a02,4,person,end,A007247,文潞
0030a03,4,person,start,A010290,文捷
0030a03,5,person,end,A010290,文捷
0034a01,2,place,start,PL83,九州
0034a01,3,place,end,PL83,九州
0035a01,1,place,start,PL12309,阿育
0035a01,2,place,end,PL12309,阿育
0035a04,2,person,start,A006570,武宗
0035a04,3,person,end,A006570,武宗
0035a05,3,place,start,PL13239,越州
0035a05,4,place,end,PL13239,越州
0036a05,1,person,start,A008333,自學和尚
0036a05,4,person,end,A008333,自學和尚
0037a03,2,person,start,A007778,正理
0037a03,3,person,end,A007778,正理
0038a03,5,person,start,A036833,薩訶
0038a03,6,person,end,A036833,薩訶
0040a02,3,person,start,A001519,宣律師
0040a02,5,person,end,A001519,宣律師
0041a02,5,person,start,A007778,理師
0041a02,6,person,end,A007778,理師
0041a04,7,place,start,PL12193,甬上
0041a04,8,place,end,PL12193,甬上
0041a04,9,person,start,A010201,知白居士徐時進
0041a05,5,person,end,A010201,知白居士徐時進
0042a02,1,person,start,A007259,玄仗居士沈泰藩
0042a02,7,person,end,A007259,玄仗居士沈泰藩
0043a01,1,place,start,PL12279,明州鄮山
0043a01,4,place,end,PL12279,明州鄮山
0043a01,5,place,start,PL12309,阿育王
0043a01,7,place,end,PL12309,阿育王
0043a07,9,place,start,PL49201,迦維
0043a07,10,place,end,PL49201,迦維
0043a08,6,place,start,PL48382,拘尸羅城
0043a08,9,place,end,PL48382,拘尸羅城
0043a08,10,place,start,PL48391,娑羅林雙樹
0043a08,14,place,end,PL48391,娑羅林雙樹
0044a03,7,place,start,PL48266,摩伽陁國
0044a03,10,place,end,PL48266,摩伽陁國
0044a03,11,person,start,A007260,阿闍世王
0044a03,14,person,end,A007260,阿闍世王
0044a04,10,person,start,A002034,阿育王
0044a04,12,person,end,A002034,阿育王
0044a06,5,place,start,PL55469,南𨶒浮提
0044a06,8,place,end,PL55469,南𨶒浮提
0044a07,3,place,start,PL83,震旦
0044a07,4,place,end,PL83,震旦
0044a07,11,place,start,PL8825,金陵長干
0044a07,14,place,end,PL8825,金陵長干
0044a07,16,place,start,PL12309,明州鄮山
0044a08,3,place,end,PL12309,明州鄮山
0044a08,12,place,start,PL8825,長干
0044a08,13,place,end,PL8825,長干
0045a01,11,place,start,PL12193,明州
0045a01,12,place,end,PL12193,明州
0045a02,5,person,start,A007778,理公
0045a02,6,person,end,A007778,理公
0048a02,10,place,start,PL48268,靈山
0048a02,11,place,end,PL48268,靈山
0050a01,12,person,start,A003079,普賢
0050a01,13,person,end,A003079,普賢
0050a03,12,person,start,A001046,僧會
0050a03,13,person,end,A001046,僧會
0050a03,15,place,start,PL8825,長干
0050a03,16,place,end,PL8825,長干
0050a04,3,person,start,A002169,孫權
0050a04,4,person,end,A002169,孫權
0050a05,8,person,start,A001046,會
0050a05,8,person,end,A001046,會
0051a01,9,person,start,A036833,劉薩訶
0051a01,11,person,end,A036833,劉薩訶
0051a02,6,place,start,PL48208,梵
0051a02,6,place,end,PL48208,梵
0051a03,10,person,start,A001046,康
0051a03,10,person,end,A001046,康
0051a03,13,person,start,A036833,劉
0051a03,13,person,end,A036833,劉
0051a04,2,person,start,A003079,普賢
0051a04,3,person,end,A003079,普賢
0053a01,13,person,start,A004257,陸公
0053a01,14,person,end,A004257,陸公
0053a02,2,person,start,A007307,沈公
0053a02,3,person,end,A007307,沈公
0053a02,10,person,start,A007230,郭公
0053a02,11,person,end,A007230,郭公
0053a04,4,person,start,A003079,普賢
0053a04,5,person,end,A003079,普賢
0053a04,11,place,start,PL12309,鄮山
0053a04,12,place,end,PL12309,鄮山
0053a04,15,person,start,A007778,理公
0053a04,16,person,end,A007778,理公
0053a05,4,person,start,A002868,空生
0053a05,5,person,end,A002868,空生
0053a05,6,person,start,A002402,身子
0053a05,7,person,end,A002402,身子
0053a05,15,place,start,PL48268,靈山
0053a05,16,place,end,PL48268,靈山
0054a02,1,place,start,PL18775,匡山
0054a02,2,place,end,PL18775,匡山
0054a02,3,place,start,PL18779,五乳
0054a02,4,place,end,PL18779,五乳
0054a02,5,place,start,PL18797,法雲寺
0054a02,7,place,end,PL18797,法雲寺
0054a02,8,person,start,A001681,憨山沙門釋德清
0054a02,14,person,end,A001681,憨山沙門釋德清
0054a05,1,person,start,A001681,憨大師
0054a05,3,person,end,A001681,憨大師
0054a07,4,person,start,A007778,理公
0054a07,5,person,end,A007778,理公
0054a08,12,person,start,A007778,理公
0054a08,13,person,end,A007778,理公
0054a08,15,person,start,A007778,秘藏
0054a08,16,person,end,A007778,秘藏
0054a08,21,place,start,PL16946,宛陵
0054a09,1,place,end,PL16946,宛陵
0054a10,1,place,start,PL12277,四明山
0054a10,3,place,end,PL12277,四明山
0054a10,5,person,start,A007263,圓復
0054a10,6,person,end,A007263,圓復
0055a02,5,place,start,PL12309,阿育王
0055a02,7,place,end,PL12309,阿育王
0055a03,6,person,start,A007230,郭大司馬
0055a03,9,person,end,A007230,郭大司馬
0055a04,8,person,start,A007778,秘藏
0055a04,9,person,end,A007778,秘藏
0055a05,14,person,start,A002799,釋迦文
0055a05,16,person,end,A002799,釋迦文
0056a05,13,place,start,PL56203,大忠孝寺
0056a05,16,place,end,PL56203,大忠孝寺
0056a08,12,person,start,A007244,孔太
0056a08,13,person,end,A007244,孔太
0056a08,14,person,start,A007246,孔陵
0056a08,15,person,end,A007246,孔陵
0057a01,2,person,start,A002034,阿育王
0057a01,4,person,end,A002034,阿育王
0057a05,11,place,start,PL19429,吉水
0057a05,12,place,end,PL19429,吉水
0057a05,13,person,start,A007121,鄒元標
0057a05,15,person,end,A007121,鄒元標
0058a02,12,person,start,A007230,郭公
0058a02,13,person,end,A007230,郭公
0058a08,9,person,start,A004257,陸公
0058a08,10,person,end,A004257,陸公
0058a10,2,person,start,A007778,理
0058a10,2,person,end,A007778,理
0058a11,16,person,start,A007274,有門大師
0058a12,3,person,end,A007274,有門大師
0058a12,16,person,start,A007230,郭公
0058a13,1,person,end,A007230,郭公
0058a13,4,person,start,A002088,宋高宗
0058a13,6,person,end,A002088,宋高宗
0058a15,3,place,start,PL12279,鄮峯
0058a15,4,place,end,PL12279,鄮峯
0058a15,5,place,start,PL12292,玉几
0058a15,6,place,end,PL12292,玉几
0058a17,3,person,start,A007778,理
0058a17,3,person,end,A007778,理
0058a22,3,person,start,A007778,正理
0058a22,4,person,end,A007778,正理
0071a03,9,person,start,A007230,郭子章
0071a03,11,person,end,A007230,郭子章
0071a05,3,place,start,PL12279,鄮山
0071a05,4,place,end,PL12279,鄮山
0073a02,1,place,start,PL19498,泰和
0073a02,2,place,end,PL19498,泰和
0073a02,3,person,start,A007230,郭子章
0073a02,5,person,end,A007230,郭子章
0073a02,6,person,start,A007230,相奎父
0073a02,8,person,end,A007230,相奎父
0073a03,1,place,start,PL13251,山陰
0073a03,2,place,end,PL13251,山陰
0073a03,3,person,start,A007270,祁承㸁
0073a03,5,person,end,A007270,祁承㸁
0073a03,6,person,start,A007270,夷度父
0073a03,8,person,end,A007270,夷度父
0073a06,18,place,start,PL48268,靈山
0073a06,19,place,end,PL48268,靈山
0073a07,3,place,start,PL48266,摩竭
0073a07,4,place,end,PL48266,摩竭
0073a10,1,person,start,A007230,蠙衣生
0073a10,3,person,end,A007230,蠙衣生
0074a09,18,place,start,PL55454,須彌山
0074a10,1,place,end,PL55454,須彌山
0076a03,7,place,start,PLG00000000008,五岳
0076a03,8,place,end,PLG00000000008,五岳
0076a03,9,place,start,PL56211,七山
0076a03,10,place,end,PL56211,七山
0076a03,13,place,start,PL47443,崑崙
0076a03,14,place,end,PL47443,崑崙
0077a09,17,place,start,PL55432,西域雪山
0077a10,1,place,end,PL55432,西域雪山
0077a10,4,place,start,PL47443,崑崙
0077a10,5,place,end,PL47443,崑崙
0077a10,10,place,start,PLG00000000002,五岳
0077a10,11,place,end,PLG00000000002,五岳
0077a10,12,place,start,PL56211,七山
0077a10,13,place,end,PL56211,七山
0078a07,3,place,start,PL12279,鄮山
0078a07,4,place,end,PL12279,鄮山
0078a08,1,place,start,PL12279,育王山
0078a08,3,place,end,PL12279,育王山
0078a08,14,place,start,PL14411,天台
0078a08,15,place,end,PL14411,天台
0078a08,16,place,start,PL14411,天台山
0078a08,18,place,end,PL14411,天台山
0078a09,9,place,start,PL14412,華頂峰
0078a09,11,place,end,PL14412,華頂峰
0078a10,6,place,start,PL14413,摘星
0078a10,7,place,end,PL14413,摘星
0078a10,9,place,start,PL14413,摘星峰
0078a10,11,place,end,PL14413,摘星峰
0078a10,15,place,start,PL12477,奉川
0078a10,16,place,end,PL12477,奉川
0079a01,3,place,start,PL12458,仗錫
0079a01,4,place,end,PL12458,仗錫
0079a01,6,place,start,PL12459,雪竇
0079a01,7,place,end,PL12459,雪竇
0079a01,11,place,start,PL12300,金峩
0079a01,12,place,end,PL12300,金峩
0079a02,5,place,start,PL12278,天童太白山
