lb,position,tag,type,key,name
0003a02,4,place,start,PL11593,西湖
0003a02,5,place,end,PL11593,西湖
0003a02,12,person,start,A004029,白少傅
0003a03,1,person,end,A004029,白少傅
0003a03,2,person,start,A003555,蘓端明
0003a03,4,person,end,A003555,蘓端明
0003a04,2,person,start,G000084,白蘇
0003a04,3,person,end,G000084,白蘇
0003a04,12,person,start,A003555,長公
0003a04,13,person,end,A003555,長公
0003a05,2,person,start,A011759,戒
0003a05,2,person,end,A011759,戒
0003a05,12,person,start,A004029,香山
0003a05,13,person,end,A004029,香山
0003a06,3,person,start,A008721,鳥窠
0003a06,4,person,end,A008721,鳥窠
0003a06,11,place,start,PL11593,西湖
0003a06,12,place,end,PL11593,西湖
0004a02,5,person,start,G000084,白蘇
0004a02,6,person,end,G000084,白蘇
0005a01,11,person,start,A008721,鳥窠
0005a01,12,person,end,A008721,鳥窠
0005a02,1,person,start,A004218,欽師
0005a02,2,person,end,A004218,欽師
0005a02,8,person,start,A003555,長公
0005a02,9,person,end,A003555,長公
0005a02,11,person,start,A020589,悟
0005a02,11,person,end,A020589,悟
0005a03,2,place,start,PL11848,徑山
0005a03,3,place,end,PL11848,徑山
0005a04,5,person,start,A020595,寶月
0005a04,6,person,end,A020595,寶月
0005a04,7,person,start,A020600,澄慧
0005a04,8,person,end,A020600,澄慧
0005a05,10,place,start,PL11772,徑山
0005a05,11,place,end,PL11772,徑山
0005a06,9,place,start,PL11508,省會
0005a06,10,place,end,PL11508,省會
0006a02,6,place,start,PL11880,餘杭
0006a02,7,place,end,PL11880,餘杭
0006a02,10,person,start,A020568,宋君
0006a02,11,person,end,A020568,宋君
0006a03,3,place,start,PL11772,徑山
0006a03,4,place,end,PL11772,徑山
0007a06,12,place,start,PL11593,西湖
0007a06,13,place,end,PL11593,西湖
0008a03,1,person,start,A001394,雲棲
0008a03,2,person,end,A001394,雲棲
0008a03,13,person,start,A000282,永明
0008a04,1,person,end,A000282,永明
0009a02,13,place,start,PL11593,西湖
0009a03,1,place,end,PL11593,西湖
0009a03,3,person,start,A003555,長公
0009a03,4,person,end,A003555,長公
0009a04,6,person,start,A020609,楊公溫甫
0009a04,9,person,end,A020609,楊公溫甫
0009a05,9,place,start,PL11593,湖
0009a05,9,place,end,PL11593,湖
0009a05,12,person,start,A003555,蘇
0009a05,12,person,end,A003555,蘇
0009a06,5,person,start,A020609,楊
0009a06,5,person,end,A020609,楊
0010a06,2,person,start,G000084,白蘇
0010a06,3,person,end,G000084,白蘇
0010a06,12,place,start,PL11593,西湖
0010a06,13,place,end,PL11593,西湖
0011a01,8,place,start,PL11772,徑山
0011a01,9,place,end,PL11772,徑山
0011a04,1,place,start,PL11593,湖
0011a04,1,place,end,PL11593,湖
0012a02,8,place,start,PL21445,汶陽
0012a02,9,place,end,PL21445,汶陽
0012a02,10,person,start,A004207,李燁然文若
0012a03,1,person,end,A004207,李燁然文若
0012a03,4,place,start,PL11593,西湖
0012a03,5,place,end,PL11593,西湖
0012a03,7,place,start,PL11563,廣生天
0012a03,9,place,end,PL11563,廣生天
0013a02,1,place,start,PL11772,徑山
0013a02,2,place,end,PL11772,徑山
0013a02,8,person,start,A022717,神龍
0013a02,9,person,end,A022717,神龍
0013a03,1,person,start,A004218,欽師
0013a03,2,person,end,A004218,欽師
0013a04,3,person,start,A022716,龍柎
0013a04,4,person,end,A022716,龍柎
0013a04,12,person,start,A004471,摩羅尊者
0013a05,3,person,end,A004471,摩羅尊者
0014a01,1,place,start,PL48266,摩竭
0014a01,2,place,end,PL48266,摩竭
0014a01,3,place,start,PL48207,印度
0014a01,4,place,end,PL48207,印度
0014a03,11,place,start,PL11772,徑山
0014a03,12,place,end,PL11772,徑山
0014a04,2,place,start,PL11593,西湖
0014a04,3,place,end,PL11593,西湖
0014a05,1,place,start,PLG00000000024,五峰
0014a05,2,place,end,PLG00000000024,五峰
0014a05,10,person,start,A022139,曺子震
0014a05,12,person,end,A022139,曺子震
0015a01,1,person,start,A004207,鶴汀李公
0015a01,4,person,end,A004207,鶴汀李公
0015a01,8,place,start,PL11508,古杭
0015a01,9,place,end,PL11508,古杭
0015a02,10,person,start,A002663,𣪞浩
0015a02,11,person,end,A002663,𣪞浩
0015a03,2,person,start,A002505,庾公
0015a03,3,person,end,A002505,庾公
0015a04,3,place,start,PL11772,徑山
0015a04,4,place,end,PL11772,徑山
0015a05,11,place,start,PL11880,禹航
0015a05,12,place,end,PL11880,禹航
0015a06,3,person,start,A020568,宋元實氏
0015a06,6,person,end,A020568,宋元實氏
0017a06,2,place,start,PLG00000000024,五峰
0017a06,3,place,end,PLG00000000024,五峰
0018a02,2,place,start,PL11772,徑山
0018a02,3,place,end,PL11772,徑山
0018a02,5,person,start,A004218,國一
0018a02,6,person,end,A004218,國一
0018a03,5,person,start,A003555,蘓長公
0018a03,7,person,end,A003555,蘓長公
0021a04,10,person,start,A021990,徐文龍田仲
0021a05,2,person,end,A021990,徐文龍田仲
0023a01,1,place,start,PL11772,徑山
0023a01,2,place,end,PL11772,徑山
0025a03,11,person,start,A020754,師延
0025a03,12,person,end,A020754,師延
0025a04,5,place,start,PL24364,濮水
0025a04,6,place,end,PL24364,濮水
0026a01,10,place,start,PL11772,徑山
0026a01,11,place,end,PL11772,徑山
0026a02,1,person,start,A004218,國一
0026a02,2,person,end,A004218,國一
0026a05,6,place,start,PL11304,越
0026a05,6,place,end,PL11304,越
0027a03,7,place,start,PL11772,雙徑
0027a03,8,place,end,PL11772,雙徑
0028a01,8,place,start,PL11772,徑山
0028a01,9,place,end,PL11772,徑山
0028a04,4,place,start,PLG00000000024,五峯
0028a04,5,place,end,PLG00000000024,五峯
0028a05,5,place,start,PL21445,汶陽
0028a05,6,place,end,PL21445,汶陽
0028a05,7,person,start,A004207,李文若
0028a05,9,person,end,A004207,李文若
0029a01,1,person,start,G000084,白蘇
0029a01,2,person,end,G000084,白蘇
0029a01,7,place,start,PL11772,徑山
0029a01,8,place,end,PL11772,徑山
0029a02,4,person,start,A020568,宋元實氏
0029a02,7,person,end,A020568,宋元實氏
0030a05,5,person,start,A003970,栁子
0030a05,6,person,end,A003970,栁子
0031a03,9,person,start,A020568,宋元實
0031a03,11,person,end,A020568,宋元實
0031a04,4,person,start,A004207,李先生
0031a04,6,person,end,A004207,李先生
0031a05,3,person,start,A003970,栁子
0031a05,4,person,end,A003970,栁子
0032a01,3,person,start,A020707,陳懋德
0032a01,5,person,end,A020707,陳懋德
0032a01,8,place,start,PL11593,西湖
0032a01,9,place,end,PL11593,西湖
0032a01,11,place,start,PL11562,思過齋
0032a02,2,place,end,PL11562,思過齋
0033a01,1,place,start,PL11772,徑山
0033a01,2,place,end,PL11772,徑山
0033a03,9,place,start,PL783,燕
0033a03,9,place,end,PL783,燕
0033a04,1,place,start,PL5250,清凉
0033a04,2,place,end,PL5250,清凉
0033a04,3,place,start,PL34728,蜀
0033a04,3,place,end,PL34728,蜀
0033a04,5,place,start,PL36087,峨嵋
0033a04,6,place,end,PL36087,峨嵋
0033a04,8,place,start,PL11305,浙
0033a04,8,place,end,PL11305,浙
0033a04,10,place,start,PL13847,補陀
0033a04,11,place,end,PL13847,補陀
0033a05,1,place,start,PL11587,靈鷲
0033a05,2,place,end,PL11587,靈鷲
0033a05,3,place,start,PL11589,南屏
0033a05,4,place,end,PL11589,南屏
0033a05,6,place,start,PL11772,雙徑
0033a05,7,place,end,PL11772,雙徑
0033a05,9,place,start,PL11880,禹杭
0033a05,10,place,end,PL11880,禹杭
0033a05,11,place,start,PL12119,臨安
0034a01,1,place,end,PL12119,臨安
0034a01,3,place,start,PL12082,東
0034a01,3,place,end,PL12082,東
0034a01,4,place,start,PL12083,西天目
0034a01,6,place,end,PL12083,西天目
0034a02,7,person,start,A004218,國一師
0034a02,9,person,end,A004218,國一師
0034a03,1,person,start,A015451,月林鏡師
0034a03,4,person,end,A015451,月林鏡師
0034a04,1,place,start,PL11848,徑山
0034a04,2,place,end,PL11848,徑山
0034a04,4,place,start,PL23255,少林
0034a04,5,place,end,PL23255,少林
0034a05,7,place,start,PL5250,清凉
0034a05,8,place,end,PL5250,清凉
0035a01,1,place,start,PL13847,補陀
0035a01,2,place,end,PL13847,補陀
0035a01,6,place,start,PL11589,南屏
0035a01,7,place,end,PL11589,南屏
0035a02,1,place,start,PL11587,靈鷲
0035a02,2,place,end,PL11587,靈鷲
0035a03,9,person,start,A000589,宗净
0035a03,10,person,end,A000589,宗净
0036a01,12,person,start,A000944,達觀
0036a02,1,person,end,A000944,達觀
0036a03,7,person,start,A015854,澹居鎧公
0036a03,10,person,end,A015854,澹居鎧公
0036a04,3,person,start,A004112,吳本如
0036a04,5,person,end,A004112,吳本如
0036a04,10,place,start,PL11777,化城寺
0036a04,12,place,end,PL11777,化城寺
0037a01,8,place,start,PL10124,海虞
0037a01,9,place,end,PL10124,海虞
0037a01,10,person,start,A020568,宋元實氏
0037a02,3,person,end,A020568,宋元實氏
0037a03,1,place,start,PL11880,禹杭
