lb,position,tag,type,key,name
0417a02,7,person,start,A007230,郭子章
0417a02,9,person,end,A007230,郭子章
0417a03,1,place,start,PL12309,育王
0417a03,2,place,end,PL12309,育王
0417a03,3,person,start,A008336,常坦禪師
0417a03,6,person,end,A008336,常坦禪師
0417a03,9,place,start,PL27852,福昌
0417a03,10,place,end,PL27852,福昌
0417a03,11,person,start,A008335,善公
0417a03,12,person,end,A008335,善公
0417a04,1,place,start,PL12309,育王
0417a04,2,place,end,PL12309,育王
0417a04,3,person,start,A007530,大覺懷璉禪師
0417a04,8,person,end,A007530,大覺懷璉禪師
0417a04,11,place,start,PL19708,泐潭
0417a04,12,place,end,PL19708,泐潭
0417a04,13,person,start,A008345,澄公
0417a04,14,person,end,A008345,澄公
0417a05,1,place,start,PL12309,育王
0417a05,2,place,end,PL12309,育王
0417a05,3,person,start,A007382,曇振真戒禪師
0417a05,8,person,end,A007382,曇振真戒禪師
0417a05,11,place,start,PL14877,瑞岩
0417a05,12,place,end,PL14877,瑞岩
0417a05,13,person,start,A008350,鴻公
0417a05,14,person,end,A008350,鴻公
0417a06,1,place,start,PL12309,育王
0417a06,2,place,end,PL12309,育王
0417a06,3,person,start,A008351,法逹寶鑒禪師
0417a06,8,person,end,A008351,法逹寶鑒禪師
0417a06,11,place,start,PL28934,福嚴
0417a06,12,place,end,PL28934,福嚴
0417a06,13,person,start,A008352,感公
0417a06,14,person,end,A008352,感公
0417a07,1,place,start,PL12309,育王
0417a07,2,place,end,PL12309,育王
0417a07,3,person,start,A008356,無竭淨曇禪師
0417a07,8,person,end,A008356,無竭淨曇禪師
0417a07,11,place,start,PL8831,寶寜
0417a07,12,place,end,PL8831,寶寜
0417a07,13,person,start,A008353,璣公
0417a07,14,person,end,A008353,璣公
0417a08,1,place,start,PL12309,育王
0417a08,2,place,end,PL12309,育王
0417a08,3,person,start,A008361,野堂普崇禪師
0417a08,8,person,end,A008361,野堂普崇禪師
0417a08,11,place,start,PL56269,黃龍
0417a08,12,place,end,PL56269,黃龍
0417a08,13,person,start,A008360,清公
0417a08,14,person,end,A008360,清公
0417a09,1,place,start,PL12309,育王
0417a09,2,place,end,PL12309,育王
0417a09,3,person,start,A000113,無示介諶禪師
0417a09,8,person,end,A000113,無示介諶禪師
0417a09,11,place,start,PL23315,天寜
0417a09,12,place,end,PL23315,天寜
0417a09,13,person,start,A008373,卓公
0417a09,14,person,end,A008373,卓公
0417a10,1,place,start,PL12309,育王
0417a10,2,place,end,PL12309,育王
0417a10,3,person,start,A000475,大慧宗杲禪師
0417a10,8,person,end,A000475,大慧宗杲禪師
0417a10,11,place,start,PL34763,昭覺
0417a10,12,place,end,PL34763,昭覺
0417a10,13,person,start,A001411,勤公
0417a10,14,person,end,A001411,勤公
0418a01,1,place,start,PL12309,育王
0418a01,2,place,end,PL12309,育王
0418a01,3,person,start,A007993,智端裕禪師
0418a01,7,person,end,A007993,智端裕禪師
0418a01,10,place,start,PL34763,昭覺
0418a01,11,place,end,PL34763,昭覺
0418a01,12,person,start,A001411,勤公
0418a01,13,person,end,A001411,勤公
0418a02,1,place,start,PL12309,育王
0418a02,2,place,end,PL12309,育王
0418a02,3,person,start,A007385,佛照德光禪師
0418a02,8,person,end,A007385,佛照德光禪師
0418a02,11,person,start,A000475,大慧杲公
0418a02,14,person,end,A000475,大慧杲公
0418a03,1,place,start,PL12309,育王
0418a03,2,place,end,PL12309,育王
0418a03,3,person,start,A008407,大圓遵璞禪師
0418a03,8,person,end,A008407,大圓遵璞禪師
0418a03,11,person,start,A000475,大慧杲公
0418a03,14,person,end,A000475,大慧杲公
0418a04,1,place,start,PL12309,育王
0418a04,2,place,end,PL12309,育王
0418a04,3,person,start,A008336,常坦禪師
0418a04,6,person,end,A008336,常坦禪師
0418a05,1,place,start,PL12309,育王
0418a05,2,place,end,PL12309,育王
0418a05,3,person,start,A009473,澄逸禪師
0418a05,6,person,end,A009473,澄逸禪師
0418a05,7,place,start,PL56273,湖山
0418a05,8,place,end,PL56273,湖山
0418a05,9,person,start,A011079,擇賢禪師
0418a05,12,person,end,A011079,擇賢禪師
0418a06,1,place,start,PL12309,育王
0418a06,2,place,end,PL12309,育王
0418a06,3,person,start,A007530,懷璉禪師
0418a06,6,person,end,A007530,懷璉禪師
0418a07,1,place,start,PL11800,佛日
0418a07,2,place,end,PL11800,佛日
0418a07,3,person,start,A008413,戒弼禪師
0418a07,6,person,end,A008413,戒弼禪師
0418a07,7,place,start,PL56275,天宮
0418a07,8,place,end,PL56275,天宮
0418a07,9,person,start,A008414,慎徽禪師
0418a07,12,person,end,A008414,慎徽禪師
0418a08,1,place,start,PL11848,徑山
0418a08,2,place,end,PL11848,徑山
0418a08,3,person,start,A008415,維琳禪師
0418a08,6,person,end,A008415,維琳禪師
0418a08,7,place,start,PL56277,臨平
0418a08,8,place,end,PL56277,臨平
0418a08,9,place,start,PL56278,勝因
0418a08,10,place,end,PL56278,勝因
0418a08,11,person,start,A008417,資禪師
0418a08,13,person,end,A008417,資禪師
0418a09,1,place,start,PL12548,彌陀
0418a09,2,place,end,PL12548,彌陀
0418a09,3,person,start,A008418,正彥庵主
0418a09,6,person,end,A008418,正彥庵主
0418a10,1,place,start,PL11011,金山
0418a10,2,place,end,PL11011,金山
0418a10,3,person,start,A018332,寶覺禪師
0418a10,6,person,end,A018332,寶覺禪師
0418a10,7,place,start,PL56280,安嚴
0418a10,8,place,end,PL56280,安嚴
0418a10,9,person,start,A018333,崇海禪師
0418a10,12,person,end,A018333,崇海禪師
0419a01,1,place,start,PL12169,廣慧
0419a01,2,place,end,PL12169,廣慧
0419a01,3,person,start,A018334,利和禪師
0419a01,6,person,end,A018334,利和禪師
0419a01,7,place,start,PL56281,明仙
0419a01,8,place,end,PL56281,明仙
0419a01,9,person,start,A018335,道信禪師
0419a01,12,person,end,A018335,道信禪師
0419a02,1,place,start,PL56283,鳳凰
0419a02,2,place,end,PL56283,鳳凰
0419a02,3,person,start,A018336,文喜禪師
0419a02,6,person,end,A018336,文喜禪師
0419a02,7,place,start,PL11800,佛日
0419a02,8,place,end,PL11800,佛日
0419a02,9,person,start,A018339,道榮禪師
0419a02,12,person,end,A018339,道榮禪師
0419a03,1,place,start,PL12166,萬壽
0419a03,2,place,end,PL12166,萬壽
0419a03,3,person,start,A018340,洪德禪師
0419a03,6,person,end,A018340,洪德禪師
0419a03,7,place,start,PL56284,精嚴
0419a03,8,place,end,PL56284,精嚴
0419a03,9,person,start,A018361,同定禪師
0419a03,12,person,end,A018361,同定禪師
0419a04,1,place,start,PL12168,寶雲
0419a04,2,place,end,PL12168,寶雲
0419a04,3,person,start,A018362,有馨禪師
0419a04,6,person,end,A018362,有馨禪師
0419a04,7,place,start,PL17199,東林
0419a04,8,place,end,PL17199,東林
0419a04,9,person,start,A018366,智華禪師
0419a04,12,person,end,A018366,智華禪師
0419a05,1,place,start,PL17199,東禪
0419a05,2,place,end,PL17199,東禪
0419a05,3,person,start,A018368,智賢禪師
0419a05,6,person,end,A018368,智賢禪師
0419a05,7,place,start,PL56285,極樂
0419a05,8,place,end,PL56285,極樂
0419a05,9,person,start,A018369,興嗣禪師
0419a05,12,person,end,A018369,興嗣禪師
0419a06,1,place,start,PL56286,普光
0419a06,2,place,end,PL56286,普光
0419a06,3,person,start,A018371,處忠禪師
