lb,position,tag,type,key,name
0631a02,1,person,start,A001640,宋太宗皇帝
0631a02,5,person,end,A001640,宋太宗皇帝
0631a03,1,person,start,A004800,宋英宗皇帝
0631a03,5,person,end,A004800,宋英宗皇帝
0631a03,7,person,start,A007530,懷璉
0631a03,8,person,end,A007530,懷璉
0631a04,6,place,start,PL12309,育王山
0631a04,8,place,end,PL12309,育王山
0631a04,11,person,start,A008336,常坦
0631a04,12,person,end,A008336,常坦
0631a04,13,person,start,A007519,王安石
0631a04,15,person,end,A007519,王安石
0631a05,2,place,start,PL12309,育王
0631a05,3,place,end,PL12309,育王
0631a05,4,person,start,A007530,大覺璉禪師
0631a05,8,person,end,A007530,大覺璉禪師
0631a05,9,person,start,A003555,蘇軾
0631a05,10,person,end,A003555,蘇軾
0631a06,3,place,start,PL12309,育王
0631a06,4,place,end,PL12309,育王
0631a06,9,person,start,A007519,王安石
0631a06,11,person,end,A007519,王安石
0631a07,2,person,start,A007530,大覺禪師璉公
0631a07,7,person,end,A007530,大覺禪師璉公
0631a07,9,person,start,A003555,蘇軾
0631a07,10,person,end,A003555,蘇軾
0631a08,2,person,start,A007530,大覺禪師
0631a08,5,person,end,A007530,大覺禪師
0631a08,8,person,start,A007519,王安石
0631a08,10,person,end,A007519,王安石
0631a09,6,person,start,A003555,蘇軾
0631a09,7,person,end,A003555,蘇軾
0631a10,2,person,start,A007530,大覺禪師璉公
0631a10,7,person,end,A007530,大覺禪師璉公
0631a10,8,person,start,A003555,蘇軾
0631a10,9,person,end,A003555,蘇軾
0632a01,5,person,start,A003555,蘇軾
0632a01,6,person,end,A003555,蘇軾
0632a02,2,person,start,A018650,趙得麟
0632a02,4,person,end,A018650,趙得麟
0632a02,6,person,start,A003555,蘇軾
0632a02,7,person,end,A003555,蘇軾
0632a03,2,person,start,A007530,大覺禪師
0632a03,5,person,end,A007530,大覺禪師
0632a03,6,person,start,A003555,蘇軾
0632a03,7,person,end,A003555,蘇軾
0632a04,2,place,start,PL12309,育王寺
0632a04,4,place,end,PL12309,育王寺
0632a04,7,person,start,A008942,樓异
0632a04,8,person,end,A008942,樓异
0632a05,2,person,start,A008942,樓試可
0632a05,4,person,end,A008942,樓試可
0632a05,6,place,start,PL12279,育王
0632a05,7,place,end,PL12279,育王
0632a05,10,person,start,A003965,舒亶
0632a05,11,person,end,A003965,舒亶
0632a06,7,person,start,A008943,錢公
0632a06,8,person,end,A008943,錢公
0632a06,10,place,start,PL12279,育王山
0632a06,12,place,end,PL12279,育王山
0632a06,13,person,start,A004577,胡宗愈
0632a06,15,person,end,A004577,胡宗愈
0632a07,2,person,start,A000475,妙喜
0632a07,3,person,end,A000475,妙喜
0632a07,4,person,start,A008709,吳潜
0632a07,5,person,end,A008709,吳潜
0632a08,4,place,start,PL12292,玉几山
0632a08,6,place,end,PL12292,玉几山
0632a08,7,person,start,A008945,謝翺
0632a08,8,person,end,A008945,謝翺
0632a09,2,place,start,PL12309,育王
0632a09,3,place,end,PL12309,育王
0632a09,7,person,start,A008945,謝翺
0632a09,8,person,end,A008945,謝翺
0632a10,2,place,start,PL12279,鄮嶺
0632a10,3,place,end,PL12279,鄮嶺
0632a10,6,person,start,A007385,釋德光
0632a10,8,person,end,A007385,釋德光
0633a01,1,place,start,PL11596,景德靈隱禪寺
0633a01,6,place,end,PL11596,景德靈隱禪寺
0633a01,7,person,start,A007385,佛照禪師
0633a01,10,person,end,A007385,佛照禪師
0633a02,1,person,start,A007385,佛照光禪師
