lb,position,tag,type,key,name
a003a02,8,place,start,PL11589,南屏
a003a02,9,place,end,PL11589,南屏
a003a02,12,person,start,A003947,韓昌黎
a003a02,14,person,end,A003947,韓昌黎
a003a02,15,person,start,A003949,王玄仲
a003a02,17,person,end,A003949,王玄仲
a003a03,6,place,start,PL11572,南峰
a003a03,7,place,end,PL11572,南峰
a003a03,12,place,start,PL11568,玉岑
a003a03,13,place,end,PL11568,玉岑
a003a03,20,person,start,A003568,止水
a003a04,1,person,end,A003568,止水
a003a04,5,person,start,A003568,止水
a003a04,6,person,end,A003568,止水
a003a10,9,place,start,PL55457,蓬萊
a003a10,10,place,end,PL55457,蓬萊
a004a01,19,place,start,PL11589,南屏
a004a01,20,place,end,PL11589,南屏
a004a02,1,person,start,A008109,濟師
a004a02,2,person,end,A008109,濟師
a004a03,19,person,start,A003568,止水
a004a03,20,person,end,A003568,止水
a004a05,2,person,start,A003568,止水
a004a05,3,person,end,A003568,止水
a004a06,11,person,start,A003568,止水
a004a06,12,person,end,A003568,止水
a004a07,3,place,start,PL11601,玉岑寺
a004a07,5,place,end,PL11601,玉岑寺
a004a07,7,person,start,A003568,止水
a004a07,8,person,end,A003568,止水
a004a07,12,person,start,A003568,止水
a004a07,13,person,end,A003568,止水
a004a08,14,place,start,PL55493,武陵源
a004a08,16,place,end,PL55493,武陵源
a004a08,19,place,start,PL55493,桃花邨
a004a09,1,place,end,PL55493,桃花邨
a004a10,16,person,start,A003575,李飛侯
a004a10,18,person,end,A003575,李飛侯
a004a10,20,place,start,PL9442,陽羨
a005a01,1,place,end,PL9442,陽羨
a005a01,6,person,start,A003568,止水
a005a01,7,person,end,A003568,止水
a005a01,13,person,start,A003575,飛侯
a005a01,14,person,end,A003575,飛侯
a005a02,16,person,start,A003568,止水
a005a02,17,person,end,A003568,止水
a005a03,18,person,start,A003575,飛侯
a005a03,19,person,end,A003575,飛侯
a005a10,14,person,start,A003575,飛侯
a005a10,15,person,end,A003575,飛侯
a006a05,4,place,start,PL11508,虎林
a006a05,5,place,end,PL11508,虎林
a006a05,8,person,start,A003940,徐時泰
a006a05,10,person,end,A003940,徐時泰
a007a02,1,place,start,PL11601,高麗慧因寺
a007a02,5,place,end,PL11601,高麗慧因寺
a007a02,8,person,start,A001113,晉水禪師
a007a02,11,person,end,A001113,晉水禪師
a007a02,14,person,start,A001462,三韓弟子
a007a02,17,person,end,A001462,三韓弟子
a007a03,1,person,start,A003555,東坡居士
a007a03,4,person,end,A003555,東坡居士
a007a03,8,place,start,PL11573,赤山
a007a03,9,place,end,PL11573,赤山
a007a03,13,place,start,PL11539,六橋之隄
a007a03,16,place,end,PL11539,六橋之隄
a007a04,11,person,start,A004100,伽藍神
a007a04,13,person,end,A004100,伽藍神
a007a05,1,place,start,PL21580,泰山
a007a05,2,place,end,PL21580,泰山
a007a05,10,place,start,PL11572,南高峰
a007a05,12,place,end,PL11572,南高峰
a007a06,2,place,start,PL11573,赤山
a007a06,3,place,end,PL11573,赤山
a007a07,10,place,start,PL23510,北邙
a007a07,11,place,end,PL23510,北邙
a007a08,11,person,start,A003566,無際
a007a08,12,person,end,A003566,無際
a007a08,13,person,start,A003563,易菴
a007a08,14,person,end,A003563,易菴
a007a08,16,person,start,A004082,本源
a007a08,17,person,end,A004082,本源
a007a10,14,person,start,A003575,李飛侯
a007a10,16,person,end,A003575,李飛侯
a008a06,11,person,start,A003965,舒亶
a008a06,12,person,end,A003965,舒亶
a008a06,13,person,start,A003969,李定
a008a06,14,person,end,A003969,李定
a008a08,5,place,start,PL9435,荊溪
a008a08,6,place,end,PL9435,荊溪
a008a08,7,person,start,A003964,蔣如奇
a008a08,9,person,end,A003964,蔣如奇
a009a01,1,person,start,A003555,東坡
a009a01,2,person,end,A003555,東坡
a014a01,1,person,start,A001113,晉水禪師
a014a01,4,person,end,A001113,晉水禪師
a015a02,1,place,start,PL9442,古陽羨
a015a02,3,place,end,PL9442,古陽羨
a015a02,4,person,start,A003575,李翥
a015a02,5,person,end,A003575,李翥
a015a02,6,person,start,A003575,飛侯甫
a015a02,8,person,end,A003575,飛侯甫
a015a03,1,place,start,PL11508,虎林
a015a03,2,place,end,PL11508,虎林
a015a03,3,person,start,A003937,姚二煜
a015a03,5,person,end,A003937,姚二煜
a015a03,6,person,start,A003937,葆明甫
a015a03,8,person,end,A003937,葆明甫
a015a03,9,person,start,A003938,方新
a015a03,10,person,end,A003938,方新
a015a03,11,person,start,A003938,子鼻甫
a015a03,13,person,end,A003938,子鼻甫
a017a03,2,place,start,PL11601,南山慧因禪寺
a017a03,7,place,end,PL11601,南山慧因禪寺
a017a03,14,place,start,PL8355,吳越
a017a03,15,place,end,PL8355,吳越
a017a03,16,person,start,A003552,忠武肅
a017a03,18,person,end,A003552,忠武肅
a017a04,8,place,start,PL11568,玉岑
a017a04,9,place,end,PL11568,玉岑
a017a04,11,place,start,PL11571,兎嶺
a017a04,12,place,end,PL11571,兎嶺
a017a04,13,place,start,PL11573,赤山
a017a04,14,place,end,PL11573,赤山
a017a04,17,place,start,PL11572,南高
a017a04,18,place,end,PL11572,南高
a017a05,1,place,start,PL11591,箕泉
a017a05,2,place,end,PL11591,箕泉
a017a05,3,place,start,PL11592,蛟窗
a017a05,4,place,end,PL11592,蛟窗
a017a06,1,place,start,PL11545,迴龍橋
a017a06,3,place,end,PL11545,迴龍橋
a017a06,7,place,start,PL11538,赤山埠
a017a06,9,place,end,PL11538,赤山埠
a017a06,12,place,start,PL11593,西湖
a017a06,13,place,end,PL11593,西湖
a017a07,5,place,start,PL11591,箕泉
a017a07,6,place,end,PL11591,箕泉
a018a01,1,person,start,A001003,馬鳴大士
a018a01,4,person,end,A001003,馬鳴大士
a018a01,9,place,start,PL83,東土
a018a01,10,place,end,PL83,東土
a018a01,11,person,start,A002450,賢首
a018a01,12,person,end,A002450,賢首
a018a01,18,person,start,A001113,晉水大法師
a018a02,2,person,end,A001113,晉水大法師
a018a02,9,person,start,A001113,淨源
a018a02,10,person,end,A001113,淨源
a018a02,12,person,start,A001113,潛叟
a018a02,13,person,end,A001113,潛叟
a018a02,14,place,start,PL17104,閩
a018a02,14,place,end,PL17104,閩
a018a02,16,place,start,PL17904,晉江
a018a02,17,place,end,PL17904,晉江
a018a04,7,person,start,A003573,高麗國王
a018a04,10,person,end,A003573,高麗國王
a018a04,14,person,start,A001462,義天
a018a04,15,person,end,A001462,義天
a018a05,12,person,start,A003554,楊傑
a018a05,13,person,end,A003554,楊傑
